Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,Booking_Datetime,Is_Cancelled_Customer,Is_Cancelled_Driver,Is_Incomplete,Country,Region
2025-09-18,19:46:21,EU100663,Completed,C6005652,Auto,Leeds,Bordeaux,,Nan,,Nan,,Nan,63.96,41.17,4.6,4.3,Cash,2025-09-19 19:46:21,0,0,0,Netherlands,Europe
2025-03-19,16:22:23,EU100664,Completed,C6670598,Auto,Barcelona,Madrid,,Nan,,Nan,,Nan,918.4,48.28,4.6,4.5,Cash,2025-03-20 16:22:23,0,0,0,France,Europe
2025-05-20,15:41:46,EU100665,Completed,C5266187,Auto,Valencia,Hamburg,,Nan,,Nan,,Nan,363.01,48.65,4.6,3.6,Cash,2025-05-21 15:41:46,0,0,0,Germany,Europe
2025-04-07,11:05:44,EU100666,Completed,C3897135,Auto,Frankfurt,Berlin,,Nan,,Nan,,Nan,270.31,34.12,4.6,3.3,Cash,2025-04-08 11:05:44,0,0,0,UK,Europe
2025-02-21,23:55:21,EU100667,Completed,C5545028,Auto,Bilbao,Bilbao,,Nan,,Nan,,Nan,109.56,11.32,4.6,4.3,Cash,2025-02-22 23:55:21,0,0,0,Germany,Europe
2025-09-05,09:47:04,EU100668,Completed,C4802827,Auto,Munich,Munich,,Nan,,Nan,,Nan,619.98,34.79,4.6,4.7,Cash,2025-09-06 09:47:04,0,0,0,UK,Europe
2025-11-12,02:18:29,EU100669,Completed,C3749970,Auto,Marseille,Frankfurt,,Nan,,Nan,,Nan,430.78,24.25,4.6,4.5,Cash,2025-11-13 02:18:29,0,0,0,Netherlands,Europe
2025-04-07,12:28:43,EU100670,Completed,C9232138,Auto,Frankfurt,Barcelona,,Nan,,Nan,,Nan,199.23,2.26,4.6,4.9,Cash,2025-04-08 12:28:43,0,0,0,Germany,Europe
2025-01-14,01:30:57,EU100671,Completed,C3194909,Auto,Leeds,Bordeaux,,Nan,,Nan,,Nan,727.33,70.6,4.6,5.0,Cash,2025-01-15 01:30:57,0,0,0,Germany,Europe
2025-07-19,18:23:20,EU100672,Completed,C8628661,Auto,Cologne,Valencia,,Nan,,Nan,,Nan,294.87,23.21,4.6,4.3,Cash,2025-07-20 18:23:20,0,0,0,Germany,Europe
2025-12-09,10:58:09,EU100673,Completed,C3546319,Auto,Bilbao,Nice,,Nan,,Nan,,Nan,175.77,27.17,4.6,4.5,Cash,2025-12-10 10:58:09,0,0,0,Austria,Europe
2025-04-06,21:09:48,EU100674,Completed,C5856766,Auto,Birmingham,Marseille,,Nan,,Nan,,Nan,515.6,20.89,4.6,4.7,Cash,2025-04-07 21:09:48,0,0,0,Netherlands,Europe
2025-10-31,17:41:12,EU100675,Completed,C5454267,Auto,Marseille,Seville,,Nan,,Nan,,Nan,497.94,26.76,4.6,3.7,Cash,2025-11-01 17:41:12,0,0,0,France,Europe
2025-08-14,11:12:24,EU100676,Completed,C6482925,Auto,Madrid,Bristol,,Nan,,Nan,,Nan,229.16,13.73,4.6,3.3,Cash,2025-08-15 11:12:24,0,0,0,Netherlands,Europe
2025-04-15,05:19:14,EU100677,Completed,C9006144,Auto,Manchester,Munich,,Nan,,Nan,,Nan,265.27,24.63,4.6,4.3,Cash,2025-04-16 05:19:14,0,0,0,Spain,Europe
