Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,Booking_Datetime,Is_Cancelled_Customer,Is_Cancelled_Driver,Is_Incomplete,Region,Country,Is_Cancelled
2025-04-20,19:19:01,T5016148,Completed,C2895527,Go Mini,Pulbangash,Jor Bagh,,Nan,,Nan,,Nan,659.0,46.06,4.7,4.1,Upi,2025-04-20T19:19:01.000Z,0,0,0,India,,0
2025-04-06,12:40:20,T5692827,Completed,C8922275,Go Mini,Pitampura,Iit Delhi,,Nan,,Nan,,Nan,1235.0,27.7,4.5,4.1,Upi,2025-04-06T12:40:20.000Z,0,0,0,India,,0
2025-05-16,20:47:53,T8122467,Completed,C8844153,Go Mini,Delhi Gate,Ashram,,Nan,,Nan,,Nan,241.0,6.76,3.9,4.1,Upi,2025-05-16T20:47:53.000Z,0,0,0,India,,0
2025-02-23,13:22:43,T8434404,Completed,C6680020,Go Mini,Gtb Nagar,Indirapuram,,Nan,,Nan,,Nan,710.0,6.29,3.1,4.1,Upi,2025-02-23T13:22:43.000Z,0,0,0,India,,0
2025-05-27,09:00:01,T3183150,Completed,C4499592,Go Mini,Pataudi Chowk,Kherki Daula Toll,,Nan,,Nan,,Nan,842.0,49.69,3.6,4.1,Upi,2025-05-27T09:00:01.000Z,0,0,0,India,,0
2025-07-18,07:40:21,T3885127,Completed,C1080557,Go Mini,Jor Bagh,Ambience Mall,,Nan,,Nan,,Nan,225.0,49.37,4.7,4.1,Upi,2025-07-18T07:40:21.000Z,0,0,0,India,,0
2025-06-03,11:23:57,T1077510,Completed,C3428017,Go Mini,Jahangirpuri,Malviya Nagar,,Nan,,Nan,,Nan,518.0,43.22,4.9,4.1,Upi,2025-06-03T11:23:57.000Z,0,0,0,India,,0
2025-09-15,17:28:16,T7985672,Completed,C4031285,Go Mini,Mg Road,Anand Vihar,,Nan,,Nan,,Nan,548.0,32.62,4.9,4.1,Upi,2025-09-15T17:28:16.000Z,0,0,0,India,,0
2025-10-10,21:33:33,T5018901,Completed,C8540871,Go Mini,Uttam Nagar,New Colony,,Nan,,Nan,,Nan,263.0,43.66,3.4,4.1,Upi,2025-10-10T21:33:33.000Z,0,0,0,India,,0
2025-12-02,19:01:33,T7748490,Completed,C3977751,Go Mini,Gurgaon Railway Station,Samaypur Badli,,Nan,,Nan,,Nan,468.0,38.78,5.0,4.1,Upi,2025-12-02T19:01:33.000Z,0,0,0,India,,0
2025-11-20,14:35:05,T7128501,Completed,C4154230,Go Mini,Keshav Puram,Greater Kailash,,Nan,,Nan,,Nan,50.0,15.94,4.7,4.1,Upi,2025-11-20T14:35:05.000Z,0,0,0,India,,0
2025-07-29,18:37:11,T8828490,Completed,C2270147,Go Mini,Iffco Chowk,Samaypur Badli,,Nan,,Nan,,Nan,442.0,27.59,3.9,4.1,Upi,2025-07-29T18:37:11.000Z,0,0,0,India,,0
2025-10-30,10:40:37,T3293388,Completed,C3773737,Go Mini,Noida Extension,Palam Vihar,,Nan,,Nan,,Nan,202.0,5.44,3.7,4.1,Upi,2025-10-30T10:40:37.000Z,0,0,0,India,,0
2025-08-23,16:32:45,T2711890,Completed,C8987909,Go Mini,Netaji Subhash Place,Dwarka Sector 21,,Nan,,Nan,,Nan,152.0,44.34,4.5,4.1,Upi,2025-08-23T16:32:45.000Z,0,0,0,India,,0
2025-05-04,10:20:03,T6866662,Completed,C2043608,Go Mini,Igi Airport,Sikanderpur,,Nan,,Nan,,Nan,668.0,42.36,4.9,4.1,Upi,2025-05-04T10:20:03.000Z,0,0,0,India,,0
2025-03-30,12:05:36,T7938579,Completed,C1513897,Go Mini,Keshav Puram,Badshahpur,,Nan,,Nan,,Nan,268.0,34.06,3.3,4.1,Upi,2025-03-30T12:05:36.000Z,0,0,0,India,,0
2025-05-04,20:40:30,T8715492,Completed,C9677764,Go Mini,Lok Kalyan Marg,Kaushambi,,Nan,,Nan,,Nan,810.0,2.9,5.0,4.1,Upi,2025-05-04T20:40:30.000Z,0,0,0,India,,0
2025-12-24,10:12:13,T8082231,Completed,C6508569,Go Mini,Ashram,Palam Vihar,,Nan,,Nan,,Nan,326.0,24.77,3.5,4.1,Upi,2025-12-24T10:12:13.000Z,0,0,0,India,,0
2025-03-04,03:03:12,T7150298,Completed,C8260964,Go Mini,Kalkaji,Ghitorni Village,,Nan,,Nan,,Nan,319.0,25.64,4.9,4.1,Upi,2025-03-04T03:03:12.000Z,0,0,0,India,,0
2025-07-06,06:31:13,T6214287,Completed,C4739825,Go Mini,Bhiwadi,Sultanpur,,Nan,,Nan,,Nan,763.0,2.28,4.8,4.1,Upi,2025-07-06T06:31:13.000Z,0,0,0,India,,0
2025-09-07,22:34:30,T5450510,Completed,C1569532,Go Mini,Dwarka Mor,Meerut,,Nan,,Nan,,Nan,715.0,21.74,3.8,4.1,Upi,2025-09-07T22:34:30.000Z,0,0,0,India,,0
2025-05-11,11:00:02,T9994218,Completed,C6170239,Go Mini,Greater Kailash,Mayur Vihar,,Nan,,Nan,,Nan,1244.0,44.13,5.0,4.1,Upi,2025-05-11T11:00:02.000Z,0,0,0,India,,0
2025-03-10,18:10:16,T4138116,Completed,C4652618,Go Mini,Chhatarpur,Mayur Vihar,,Nan,,Nan,,Nan,291.0,48.97,3.3,4.1,Upi,2025-03-10T18:10:16.000Z,0,0,0,India,,0
2025-05-25,13:43:15,T1434377,Completed,C2262348,Go Mini,Sikanderpur,Paharganj,,Nan,,Nan,,Nan,398.0,21.32,3.9,4.1,Upi,2025-05-25T13:43:15.000Z,0,0,0,India,,0
2025-11-03,08:52:30,T4521732,Completed,C2704895,Go Mini,Mg Road,Khandsa,,Nan,,Nan,,Nan,283.0,8.63,3.5,4.1,Upi,2025-11-03T08:52:30.000Z,0,0,0,India,,0
2025-10-13,17:48:38,T7627754,Completed,C4858770,Go Mini,Jasola,Rk Puram,,Nan,,Nan,,Nan,127.0,46.77,3.4,4.1,Upi,2025-10-13T17:48:38.000Z,0,0,0,India,,0
2025-04-11,12:35:46,T8456539,Completed,C5099158,Go Mini,New Delhi Railway Station,Tagore Garden,,Nan,,Nan,,Nan,226.0,16.15,3.7,4.1,Upi,2025-04-11T12:35:46.000Z,0,0,0,India,,0
2025-11-23,09:24:01,T7449303,Completed,C5936406,Go Mini,Panchsheel Park,Imt Manesar,,Nan,,Nan,,Nan,971.0,8.65,5.0,4.1,Upi,2025-11-23T09:24:01.000Z,0,0,0,India,,0
2025-12-30,15:58:27,T9663503,Completed,C9042235,Go Mini,Satguru Ram Singh Marg,Qutub Minar,,Nan,,Nan,,Nan,334.0,43.41,3.7,4.1,Upi,2025-12-30T15:58:27.000Z,0,0,0,India,,0
2025-11-20,11:51:33,T6851671,Completed,C2134186,Go Mini,Satguru Ram Singh Marg,Subhash Chowk,,Nan,,Nan,,Nan,344.0,43.17,3.0,4.1,Upi,2025-11-20T11:51:33.000Z,0,0,0,India,,0
2025-09-26,11:14:53,T6272954,Completed,C4029241,Go Mini,Gurgaon Sector 29,Rohini,,Nan,,Nan,,Nan,336.0,10.32,3.8,4.1,Upi,2025-09-26T11:14:53.000Z,0,0,0,India,,0
2025-07-27,16:45:26,T3664556,Completed,C1969468,Go Mini,Gurgaon Railway Station,Jor Bagh,,Nan,,Nan,,Nan,1186.0,17.2,3.9,4.1,Upi,2025-07-27T16:45:26.000Z,0,0,0,India,,0
2025-06-18,20:45:41,T5986973,Completed,C8678536,Go Mini,Shahdara,Lok Kalyan Marg,,Nan,,Nan,,Nan,474.0,4.33,4.5,4.1,Upi,2025-06-18T20:45:41.000Z,0,0,0,India,,0
2025-03-13,16:31:03,T4089196,Completed,C4380436,Go Mini,Chhatarpur,Panchsheel Park,,Nan,,Nan,,Nan,604.0,15.66,4.7,4.1,Upi,2025-03-13T16:31:03.000Z,0,0,0,India,,0
2025-11-17,07:30:12,T6996079,Completed,C2808841,Go Mini,Badshahpur,Rithala,,Nan,,Nan,,Nan,714.0,8.3,4.9,4.1,Upi,2025-11-17T07:30:12.000Z,0,0,0,India,,0
2025-01-23,11:21:53,T4273159,Completed,C3901885,Go Mini,Ghaziabad,Pragati Maidan,,Nan,,Nan,,Nan,965.0,35.21,4.5,4.1,Upi,2025-01-23T11:21:53.000Z,0,0,0,India,,0
2025-02-26,09:38:50,T2526642,Completed,C8446461,Go Mini,Shahdara,Sonipat,,Nan,,Nan,,Nan,179.0,11.3,4.7,4.1,Upi,2025-02-26T09:38:50.000Z,0,0,0,India,,0
2025-03-22,16:29:24,T7308321,Completed,C9526834,Go Mini,Indirapuram,Ito,,Nan,,Nan,,Nan,417.0,29.15,3.7,4.1,Upi,2025-03-22T16:29:24.000Z,0,0,0,India,,0
2025-01-20,12:17:48,T8257581,Completed,C8549457,Go Mini,Kherki Daula Toll,Sikanderpur,,Nan,,Nan,,Nan,395.0,32.07,4.5,4.1,Upi,2025-01-20T12:17:48.000Z,0,0,0,India,,0
2025-07-11,18:05:44,T3206029,Completed,C2420656,Go Mini,Iffco Chowk,Munirka,,Nan,,Nan,,Nan,902.0,31.57,4.9,4.1,Upi,2025-07-11T18:05:44.000Z,0,0,0,India,,0
2025-10-18,18:28:53,T8962232,Completed,C1789354,Go Mini,Madipur,Gtb Nagar,,Nan,,Nan,,Nan,836.0,39.55,4.7,4.4,Upi,2025-10-18T18:28:53.000Z,0,0,0,India,,0
2025-11-15,05:53:55,T3871541,Completed,C9849259,Go Mini,Mundka,Preet Vihar,,Nan,,Nan,,Nan,282.0,8.36,3.8,4.4,Upi,2025-11-15T05:53:55.000Z,0,0,0,India,,0
2025-06-24,18:04:39,T3274827,Completed,C3134967,Go Mini,Cyber Hub,Old Gurgaon,,Nan,,Nan,,Nan,707.0,44.76,4.8,4.4,Upi,2025-06-24T18:04:39.000Z,0,0,0,India,,0
2025-05-24,09:41:12,T8547679,Completed,C3104034,Go Mini,Preet Vihar,Chirag Delhi,,Nan,,Nan,,Nan,798.0,13.98,4.7,4.4,Upi,2025-05-24T09:41:12.000Z,0,0,0,India,,0
2025-12-06,16:53:20,T2802162,Completed,C7137628,Go Mini,Gtb Nagar,Kherki Daula Toll,,Nan,,Nan,,Nan,319.0,39.03,3.7,4.4,Upi,2025-12-06T16:53:20.000Z,0,0,0,India,,0
2025-03-28,17:34:15,T6953222,Completed,C5992493,Go Mini,Dlf City Court,Ghitorni Village,,Nan,,Nan,,Nan,50.0,37.08,3.3,4.4,Upi,2025-03-28T17:34:15.000Z,0,0,0,India,,0
2025-06-26,10:26:58,T5940200,Completed,C2999361,Go Mini,Subhash Nagar,Madipur,,Nan,,Nan,,Nan,410.0,13.8,4.7,4.4,Upi,2025-06-26T10:26:58.000Z,0,0,0,India,,0
2025-06-20,09:34:11,T5743013,Completed,C2741238,Go Mini,Barakhamba Road,Civil Lines Gurgaon,,Nan,,Nan,,Nan,269.0,8.38,4.8,4.4,Upi,2025-06-20T09:34:11.000Z,0,0,0,India,,0
2025-06-19,17:52:47,T6871709,Completed,C8427572,Go Mini,Saidulajab,Mg Road,,Nan,,Nan,,Nan,122.0,46.43,3.7,4.4,Upi,2025-06-19T17:52:47.000Z,0,0,0,India,,0
2025-09-10,19:49:55,T3447713,Completed,C5955912,Go Mini,Badarpur,Sonipat,,Nan,,Nan,,Nan,485.0,4.87,3.9,4.4,Upi,2025-09-10T19:49:55.000Z,0,0,0,India,,0
2025-01-20,15:17:08,T2477339,Completed,C6102114,Go Mini,Saket,Green Park,,Nan,,Nan,,Nan,166.0,39.7,4.9,4.4,Upi,2025-01-20T15:17:08.000Z,0,0,0,India,,0
2025-10-07,15:48:40,T4203004,Completed,C5700717,Go Mini,Noida Extension,Kherki Daula Toll,,Nan,,Nan,,Nan,186.0,38.11,3.9,4.4,Upi,2025-10-07T15:48:40.000Z,0,0,0,India,,0
2025-10-12,08:27:55,T6677741,Completed,C6101585,Go Mini,Barakhamba Road,Yamuna Bank,,Nan,,Nan,,Nan,708.0,2.18,4.7,4.4,Upi,2025-10-12T08:27:55.000Z,0,0,0,India,,0
